FSCM,CustPN,CustRev,CoastPN,CoastRev,Name,Eng,Date
A0036,7582526G4,D,41314-4,,"COIL,RF",,
12763,60302,,40764,,,,
A0036,7582526G6,D,41314-6,,COIL RADIO,,
A0036,7582526G7,D,41314-7,,COIL RADIO,,
24930,42963,,50116,,,,
99971,75282526,,,,,,
97942,128C943H02,,41313-2,,,,
10001,62A100-C3010,,41312,,,,
18876,9167312,,41311,,,,
13499,677-9013-00,,41310,,,,
76823,2-60919-15,H,41309-15,,TRANSFORMER,,
18876,9167716,,41308,,,,
80063,SM-D-449019,,41307,,,,
80063,SM-B-105181,,41306,,,,
10001,2561088,,41305,,,,
80063,SC-B-105073,,41304,,,,
13499,672-0951,,40763,,POWER TRANSFORMER,,
10001,3137507-00,NC,41303,,TRANSFORMER,,
18876,P27-169-01,,41302,,,,
7690,120276,,6638,,,,
72152,003-076-000,,40822,,,,
19156,4093,,40428,,,,
19156,5733,,32439,,/05-58B,,
99380,0073-01981,E,40803,,TRANSFORMER,,
A0015,012-300002-36,,30047,,,,
72152,020-009-000,P,40327,,,,
72152,020-011-000,J,,,,,
72152,020-013-000,,40388,,,,
97151,8810307,,,,,,
15634,2123,,,,,,
11982,1E114-003,J,7397-3,,INDUCTOR,,
,2168302,,30147,,,,
,2198301,,30145,,,,
,2198302,,30148,,,,
,2198303,,30150,,,,
,2198304,,30146,,,,
50027,0222-733,,41200,,,,
12365,030602-64,,32634,,"10uH, 200MA GR 1",,
97942,577R792H01,,41301,,,,
65997,039220-0001,,41123,,,,
42498,40458,,40575,,,,
50322,D464,,40502,,,,
26916,052-000831,,40330,,,,
26916,052-000843,,40505,,,,
26916,052-000975,,40547,,,,
26916,052-000976,,40392,,,,
97151,8627290,NC,40837,,,,
26916,056-000442,,,,,,
26916,056-000447,C,41109,,REACTOR,,
26916,056-000488,B,40715,,,,
26916,056-000527,C,41068,,,,
26916,056-000374,D,41197,,REACTOR,,
50322,D565,NC,40448,,TRANSFORMER,,
26916,058-000207,,40847,,,,
96138,06-B-31,,40668,,,,
24384,665259,,40268,,"XFMR, AUDIO FREQUE",,
6845,0665260-0501,C,,,,,
724,08-00054,,40393,,,,
724,08-00209-000,,41054,,,,
724,08-00223-000,,41174,,,,
724,08-00249-000,,40633,,,,
80063,SM-C-366259,,41300,,,,
724,08-00312-000,,41167,,,,
724,08-00341-015,,40691,,,,
724,08-00341-011,,40855,,,,
724,08-00343-12,,40479,,,,
724,08-00343-001,,40702,,,,
724,08-00343-014,,32472,,,,
724,08-0048C-000,,,,,,
724,08-00494-000,,41192,,,,
724,08-00691-000,,,,,,
3538,7745118P012,,41267,,,,
21856,84,,30061,,,,
724,09-00164,,40603,,,,
724,09-00171-000,,40472,,,,
724,09-00215-000,,40928,,,,
724,09-00230-000,D,32437,,/05-56B,,
724,09-00561-003,,,,,,
724,09-00694-001,,41265-1,,,,
11982,9078601,,30450,,INDUCTOR,,
11982,9078602,,30446,,INDUCTOR,,
11982,9078603,,30447,,TRANSFORMER,,
11982,9078604,,30448,,TRANSFORMER,,
11982,9078605,,30449,,TRANSFORMER,,
22915,9631305,,40784,,,,
11872,100-1619,,40846,,,,
12868,100-3269,NC,40742,,"TRANSFORMER,POWER",,
13068,100-5-017,C,32336,,COMMON MODE INDUCTOR,,
82577,100-930-030,,7555,,,,
95750,100001-3037,,41229,,,,
7181,100052,,9817,,,,
94123,1002,,2044,,,,
94580,10027442-101,B,41147,,,,
94500,10032168,,41143,,,,
49671,1003423-1,J,40885,,COIL-RF,CHA,7/21/1986
94580,10034592-101,,41062,,,,
94580,10036739,D,40730,,"TRANSFORMER,PULSE",,
18876,10043642,,40615,,,,
18876,10043864,,,,,,
18876,10043889,,40831,,,,
18876,10049530,,41082,,,,
18876,10049537,D,40936,,,,
18876,10065598,C,40999,,,,
10138,100867,,40339,,,,
50585,1009-Q-511,,7493,,,,
78022,100999,,41036,,,,
12868,101-5011,,40652,,,,
12868,101-5014,B,31541-51,,,,
12868,101-5015-1,,5050A,,"/5-50A, INDUCTOR",,
0,10105382,,40807,,,,
18876,10106115,,40692,,,,
18876,10106121,,40899,,,,
18876,10106122,,41046,,,,
18876,10106321,,40583,,,,
18876,10112593,,40414,,,,
18876,10121106,,7551,,,,
18876,10121107,,7552,,,,
A0036,101350,NC,41163,,COIL RF,,
18876,10158779,,7831,,,,
4S500,10171,,30277,,,,
18876,10176180,D2,,,,,
18986,10176207,,7160,,,,
18876,10177382,D2,40901,,,,
18876,10177831,D,40369,,,,
18876,10177832,,40795,,,,
18876,10178315,C,,,,,
18876,10178371,,41261,,,,
18876,10178403,,,,,,
18876,10178471,,7913,,,,
18876,10179146,,40452,,,,
18876,10182076,,32579,,/08-60F,,
18876,10183512,,7289,,,,
33128,10208,,40987,,,,
18876,10231938,,7965,,,,
?9886,10231939,,7966,,,,
18876,10231940,,7967,,,,
18876,10231941,,7968,,,,
18876,10234348,C,40741,,,,
18876,10236707,,40592,,,,
18876,10236709,,40389,,,,
18876,10237221,,30076,,,,
18876,10249961,,7622,,,,
18876,10281141(D2),C,40992,,"REACTOR, SAT.",,
18876,10281141(D1),C,30330,,TRANSFORMER,,
2294,102863-1,D,6132,,TRANSFORMER,,
18876,10288688,,,,,,
22915,1M153,A/BUILT @ COAST,8989,,TRANSFORMER POWER S,,
24930,103496,E,50050,,"COIL,RF",,
24930,103507,,50018,,,,
24930,103562,G,50034,,,,
80223,1035987,NC,,,,,
,104551,,32427,,/05-46B,,
72964,10480A,,40663,,,,
9004,104975,D,41121,,,,
9004,104975-3,,41180,,,,
19200,10545271(D2),X2,40766,,,,
19200,10545271(D1),B,30052,,TRANSFORMER,,
19200,10545272,B,10041F,,,,
19200,10545565,,30337,,,,
19200,10548199,E,30296,D,TRANSFORMER,,
19200,10548200,G,30302,,REACTOR,,
19200,10548201,H,30308,,TRANSFORMER PULSE,,
19200,10548203,G,30303,,TRANSFORMER,,
19200,10548204,H,30304,,TRANSFORMER,,
19200,10548208,"K,BLT AT COAST",30301,,COAST COIL PART,,
19200,10548227,H+,30055,G,"TRANSFORMER,PULSE",,
19200,10548556,E,7903,,INDUCTOR,,
19200,10548568,G,30306,,TRANSFORMER,,
19200,10548570,A2,40864,,INDUCTOR,,
19200,10548787,B,30305,B,REACTOR,JA,12/20/1984
19200,10548812,M,,,,,
33128,10548816,H,7846,,TRANSFORMER,,
33128,10548817,E,7845,,TRANSFORMER,,
33128,10548818,F,7843,F,TRANSFORMER,JA,8/28/1980
33128,10548819,J,7844,J,TRANSFORMER,JA,9/3/1980
19200,10548820,H,7842,,SATURABLE REACTOR,,
19200,10548821,K,3188,,COAST COIL PART,,
97953,1C7346-1,B,41299-1,,INDUCTOR,,
19200,10548822,COAST COIL,3109,,COAST COIL PART,,
10001,2469400-5,,41298-5,,,,
19200,10548823,F,,,,,
33128,10548826,G,7837,G,INDUCTOR,JA,9/4/1980
33128,10548827,E,7838,E,INDUCTOR,JA,9/4/1980
19200,10548828,F,7840,F,INDUCTOR,JA,9/4/1980
33128,10548830,H,,,,,
33128,10548931,K,7839,K,TRANSFORMER,JA,8/28/1980
24930,52940,,50248,,,,
33128,10548932(D1),J,7841,J,TRANSFORMER,JA,8/29/1986
