FSCM,Name,Telex,SName,Hold,Commission_FSCM,Commission_PCT,Credit,CreditLimit,Terms,Percent
104,NAVY SHIPS  PARTS & CONTROL CTR,,NAVYSHIPS,,,0,0,0,0,0
144,ADC PRODUCTS,,ADC,,,3.5,1,0,1,0
204,ELECTRONIC COILS,,ELECT.COIL,,,0,1,0,1,0
462,TRW/LUCAS AEROSPACE,714 671-4546,LUCAS,,,0,0,0,0,0
467,RCA CORP CAMDEN,,RCA,,,0,1,0,1,0
724,E-SYSTEMS INCORPORATED,,E-SYSTEMS,,,0,1,0,1,0
1534,HONEYWELL MARINE SYSTEMS DIV.,,HONEY MAR,,,0,1,0,1,0
1808,"QSS GROUP, INC.",,QSS/NASA,,,0,1,0,1,0
2294,CHRISTIE ELECTRIC CORP,,CHRISTIE,,,0,1,0,2,0
2365,TARGETRONIX,,TARGET,,,0,1,0,1,0
2387,NAVAL AVIONICS,,NAVAL AV,,,0,1,0,1,0
2731,MCDONNELL DOUGLAS HELICOPTERS,,MCDON/HELI,,,0,1,0,1,0
2912,"NORTHERN WINGS REPAIR, INC.",,NORTHWINGS,,,0,1,0,2,0
3550,VANGUARD ELECTRONICS,,VANGUARD,,,0,1,0,1,0
3769,NAPCO INTERNATIONAL INC,,NAPCO,,,0,2,0,1,0
3907,"AEROFLEX COLORADO SPRINGS, INC.",,AEROFLEX,,,0,1,0,1,0
4074,LOGITRADE INDUSTRIES,01 69 46 74 51,LOGITRADE,,,0,1,0,3,100
4217,ENDWAVE CORPORATION,,ENDWAVE,,,0,0,0,0,0
4258,JABIL CIRCUIT,,JABIL,,,0,1,0,1,0
4552,EMERSON & CUMING (W R GRACE CO),,E & C,,,0,1,0,1,0
4939,MARTIN MARIETTA MISSILE SYSTEMS,,MARTIN MAR,,,0,1,0,1,0
4971,RANTEC DIVISION OF EMERSON,,RANTEC,,,0,1,0,1,0
5254,COAST MAGNETICS-COAST COIL DIV,,COAST MAG,,,0,1,0,1,0
5610,"SPARTRONICS VIETNAM CO., LTD",,SPARTRONIC,,,0,1,0,1,0
5716,"RAYTHEON, IDS",,RAY IDS,,,0,0,0,0,0
5869,HUGHES AIRCRAFT FULLERTON,,HAC FUL,,,0,1,0,1,0
5991,ITT BARTON INSTRUMENTS CO,,ITT BARTON,,,0,1,0,1,0
6090,TE CONNECTIVITY,,TE CONNECT,,,0,1,0,1,0
6283,FEECORP,805-987-0506,FEECORP,,,0,1,0,2,0
6401,LOCKHEED MARTIN,,LOCKHEED M,,,0,1,0,1,0
6481,NORTHROP GRUMMAN ELECTRONIC SYS,,NGC/LITTON,,,0,1,0,1,0
6816,HUGHES AIRCRAFT CARLSBAD,,HAC CARLS,,,0,1,0,1,0
6845,BENDIX CORP.,,BENDIX,,,0,0,0,0,0
6989,HAROWE SERVO CONTROLS INC,,HAROWE SER,,,0,3,0,2,0
7015,CONTACT INC,,CONTACT,,,0,1,0,1,0
7070,NAVAL COASTAL SYSTEMS CENTER,,NAVAL CTR,,,0,1,0,1,0
7076,RCA CORP BURLINGTON,,RCA,,,0,1,0,1,0
7181,MARATHON POWER TECHNOLOGIES,,MARATHON T,,,0,1,0,1,0
