JobNo,CoastPN,CoastRev,CustPN,CustRev,CustFSCM,LogDate,QtyOrd,QtyQA,QtyOS,QtySpares,Location,LocDate
2007,3746,,11738968,B,A0058,7/6/1987,600,0,0,0,CLOSE,6/23/1988
5083,40236,,,,A0035,12/15/1987,92,0,0,0,CLOSE,1/29/1988
5095,2353-3,,8G079-003,D,11982,7/16/1986,11,5,2,0,CLOSE,6/11/1987
5129,30284,,ON206406,,7367,8/8/1986,85,0,0,0,CLOSE,12/9/1986
5246,7536,G,1268131-1,H,70143,9/8/1986,0,0,0,0,CLOSE,10/16/1986
5296,30304,,10548204,H,33128,7/16/1986,750,0,0,0,CLOSE,10/14/1986
5299,30307,,10556095,F,33128,7/16/1986,759,0,0,0,CLOSE,3/24/1988
5301,30308,,10548201,H,33128,7/16/1986,1708,0,0,0,CLOSE,12/16/1986
5379,7083-6,,905334-0006,M,6481,4/5/1995,85,0,0,0,CLOSE,12/9/1986
5407,40302,,328717-1,K,A0036,1/19/1988,173,0,0,0,CLOSE,2/15/1989
5485,40220,,,,A0036,7/16/1986,163,0,0,0,CLOSE,9/15/1986
5516,2305-7,,8G012-007,F,11982,8/18/1986,18,0,0,0,CLOSE,1/17/1989
5517,2305-8,,8G012-008,F,11982,7/16/1986,18,0,0,0,CLOSE,1/17/1989
5518,2305-9,,8G012-009,F,11982,7/16/1986,18,0,0,0,CLOSE,1/17/1989
5602,7504,,3718670-001,T,59495,7/16/1986,0,0,0,0,CLOSE,12/22/1985
5607,30135,,ON270726,,28528,10/9/1986,26,0,0,0,CLOSE,11/6/1986
5624,40302,,328717-1,K,A0036,2/6/1991,122,0,0,0,CLOSE,11/20/1991
5689,2220,,930448,,27832,7/16/1986,250,0,0,0,CLOSE,10/20/1986
5777,30177,,SM-B-526853,F,A0036,7/16/1986,200,0,0,0,CLOSE,12/26/1986
5787,30348,,564404,,98571,7/16/1986,1810,0,0,0,CLOSE,12/3/1985
5788,30359,,564405,E,98571,7/16/1986,1810,0,0,0,CLOSE,1/5/1987
5789,30360,,564407,NC,98571,7/16/1986,360,0,0,0,CLOSE,10/3/1986
