JobNo,CoastPN,CoastRev,CustPN,CustRev,CustFSCM,LogDate,QtyOrd,QtyQA,QtyOS,QtySpares,Location,LocDate
0.00E+00,42290,,SM-C-875525,C,A0035,7/20/1990,26,0,0,2,CLOSE,7/12/1991
0.00E+00,41782,,144A9811,E,A0036,7/20/1990,31,0,2,2,CLOSE,2/12/1991
0.00E+00,40546,,4030645-0701,B,A0035,7/20/1990,33,0,0,3,CLOSE,3/19/1991
0.00E+00,42931,,672-0499,D,A0036,7/24/1990,2,0,0,2,CLOSE,1/21/1991
0.00E+00,7701,NC,5638027-1,NC,32964,7/24/1990,7,0,6,2,CLOSE,12/11/1990
0.00E+00,52031,,8260633,D,59495,7/24/1990,2,0,0,1,CLOSE,9/7/1990
0.00E+00,52032,,8260632,E,59495,7/24/1990,2,0,0,1,CLOSE,9/7/1990
0.00E+00,52033,,8260691,F,59495,7/24/1990,2,0,0,2,CLOSE,9/13/1990
0.00E+00,30771,,A40341,NC,18150,7/26/1990,12,0,0,2,CLOSE,2/14/1991
0.00E+00,30687,A,A29537,C,18150,7/26/1990,12,0,0,2,CLOSE,11/29/1990
0.00E+00,40109,,676862,,A0036,7/26/1990,58,0,0,7,CLOSE,2/1/1991
0.00E+00,42892,,204-15767-1,B,A0035,7/26/1990,1,0,0,1,CLOSE,12/28/1990
0.00E+00,30768,,5698016-1,NC,32964,7/27/1990,1,0,0,1,CLOSE,10/30/1990
0.00E+00,7416-3,,1E136-003,D,11982,7/30/1990,1,0,1,0,CLOSE,8/1/1990
0.00E+00,42961,,585522,D,A0036,7/30/1990,33,0,0,3,CLOSE,2/22/1991
0.00E+00,40105,,,,A0035,7/30/1990,36,0,0,3,CLOSE,10/14/1991
0.00E+00,30781,,11708,FG,A0378,7/30/1990,1,0,0,0,CLOSE,12/7/1990
0.00E+00,40511,,755090A0755,NC,A0036,8/1/1990,0,0,0,0,CLOSE,8/20/1990
0.00E+00,7083-6,,905334-0006,M,6481,8/2/1990,5,0,0,2,CLOSE,1/17/1991
0.00E+00,30737,,1N387-001,NC,12705,8/3/1990,16,0,0,3,CLOSE,5/10/1991
0.00E+00,60047,,1N388-001,A/B2,12705,8/3/1990,18,0,0,3,CLOSE,11/20/1991
0.00E+00,30735,,1N391-001,NC/A1,12705,8/3/1990,9,0,0,2,CLOSE,3/13/1991
0.00E+00,60058,,1N399-001,NC/A1,12705,8/3/1990,16,0,0,3,CLOSE,6/14/1991
