CoastPN,Item,Level,Name,Class,PerUnit,Unit,PartDwg,Rev,ManFSCM
10013F,1,3,TOP DRAWING,,1,EA,10013F,B,22558
10013F,2,3,ASSEMBLY AND POT,,1,EA,10013F-20,NC,22558
10013F,3,3,CORE/COIL,,1,EA,10013F-10,NC,22558
10013F,4,3,CORE,,1,EA,B-1003-6,-,
10013F,5,3,"WIRE, MAGNET",,1,A/R,#33 S.E PER NEMA MW-77-C (J-W-1177/39),-,
10013F,6,3,"SOLDER, Sn50",,1,A/R,Sn50Pb49Cu01A-ROL1 PER J-STD-006,-,
10013F,7,3,LEAD FRAME,,1,EA,MLF-1011 (TIN-LEAD PLATED),-,
10013F,8,3,ADHESIVE,,1,A/R,"EA956, PART A & B",-,12405
10013F,9,3,"COMPOUND, MOLDING",,1,A/R,MG33-0690,-,12405
10013F,10,3,INK,,1,A/R,"M-X-N, B-3 CATALYST",-,12405
10013F,11,3,"SOLDER, Sn63",,1,A/R,Sn63Pb37-ROL1 PER J-STD-006,-,
10062A,1,3,TOP DRAWING,,1,EA,10062A,NC,22558
10062A,2,3,ASSEMBLY AND POT,,1,EA,10062A-20,NC,22558
10062A,3,3,CORE/COIL,,1,EA,10062A-10,NC,22558
10062A,4,3,CORE,,1,EA,B-1002-0,-,
10062A,5,3,"WIRE, MAGNET",,1,A/R,#33 SE per NEMA: MW-77-C (J-W-1177/39),-,
10062A,6,3,"SOLDER, Sn50",,1,A/R,Sn50Pb49Cu01A-ROL1 PER J-STD-006,-,
10062A,7,3,"ADHESIVE, UV",,1,A/R,3751,-,L0015
10062A,8,3,LEAD FRAME,,1,EA,MLF-1011 (GOLD PLATED),-,
10062A,9,3,ADHESIVE,,1,A/R,"EA956, PART A & B",-,12405
10062A,10,3,"COMPOUND, MOLDING",,1,A/R,MG33-0690,-,12405
10062A,11,3,INK,,1,A/R,"M-X-N, B-3 CATALYST",-,12405
10077F*,1,1,TOP DRAWING,,1,EA,10084F110,,22558
10084F,1,1,TOP DRAWING,,1,EA,10084F110,,22558
10086F,1,2,TOP DRAWING,,1,EA,10086F,-,22558
10086F,2,2,ASSEMBLY AND POT,,1,EA,10086F-20,A,22558
10086F,3,2,CORE/COIL,,1,EA,10086F-10,A,22558
10086F,4,2,CORE,,1,EA,"B-10,000-6",-,
